Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","pcb way logo",24.200000,60.500000,180.000000,bottom
"C1","3n9","C_Disc_D3.8mm_W2.6mm_P2.50mm",2.600000,38.400000,0.000000,top
"C2","4u7","CP_Radial_D5.0mm_P2.50mm",13.100000,11.650000,-90.000000,top
"C3","4u7","CP_Radial_D5.0mm_P2.50mm",3.350000,43.050000,0.000000,top
"C4","560pF","C_Disc_D3.8mm_W2.6mm_P2.50mm",18.350000,29.950000,180.000000,top
"C5","10uF","CP_Radial_D5.0mm_P2.50mm",10.150000,41.250000,-90.000000,top
"C6","10uF","CP_Radial_D5.0mm_P2.50mm",16.500000,14.500000,0.000000,top
"C7","4.7uF","CP_Radial_D5.0mm_P2.50mm",6.550000,9.150000,0.000000,top
"C8","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",10.700000,14.450000,180.000000,top
"C9","4.7uF","CP_Radial_D5.0mm_P2.50mm",9.250000,22.350000,90.000000,top
"C10","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",12.750000,20.400000,-90.000000,top
"C11","10uF","CP_Radial_D5.0mm_P2.50mm",26.400000,53.600000,180.000000,top
"C12","560pF","C_Disc_D3.8mm_W2.6mm_P2.50mm",23.450000,29.950000,180.000000,top
"C13","10nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",20.600000,48.050000,0.000000,top
"C14","82nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",28.650000,29.950000,180.000000,top
"C15","3n3","C_Disc_D3.8mm_W2.6mm_P2.50mm",34.500000,40.450000,90.000000,top
"C16","82nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",33.650000,29.950000,180.000000,top
"C17","47uF","CP_Radial_D5.0mm_P2.50mm",37.950000,15.800000,0.000000,top
"C18","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",31.200000,14.050000,90.000000,top
"C19","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",34.350000,14.050000,90.000000,top
"C20","4.7uF","CP_Radial_D5.0mm_P2.50mm",36.050000,35.850000,-90.000000,top
"D1","1N4148","Diode_DO-35_P10mm",46.550000,25.100000,180.000000,top
"J1","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",23.909000,1.500000,90.000000,top
"J2","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",11.209000,1.500000,90.000000,top
"J3","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",3.589000,1.500000,90.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",39.149000,1.500000,90.000000,top
"J5","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",31.529000,1.500000,90.000000,top
"Q1","2N3904","TO-92_Inline_Wide",22.650000,14.300000,0.000000,top
"Q2","2N3904","TO-92_Inline_Wide",45.250000,19.550000,-90.000000,top
"R1","15K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",2.600000,35.200000,0.000000,top
"R2","100K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",20.100000,9.250000,0.000000,top
"R3","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",12.700000,28.500000,180.000000,top
"R4","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",15.400000,35.250000,0.000000,top
"R5","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",12.750000,31.900000,180.000000,top
"R6","4K7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",15.500000,41.700000,0.000000,top
"R7","5K6","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",15.550000,44.900000,0.000000,top
"R8","15K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",15.450000,38.450000,0.000000,top
"R9","50K","Potentiometer_Bourns_PTV09A-1",17.200000,48.671000,90.000000,top
"R10","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",28.150000,35.400000,90.000000,top
"R11","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",31.200000,35.400000,90.000000,top
"R12","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",46.650000,22.100000,180.000000,top
"R13","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",47.250000,32.450000,90.000000,top
"R14","10K","Potentiometer_Bourns_PTV09A-1",38.150000,48.671000,90.000000,top
"R15","2K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",44.100000,42.650000,-90.000000,top
"R16","1K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",46.650000,28.900000,180.000000,top
"R17","15K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",47.450000,11.850000,-90.000000,top
"R18","1K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",41.000000,42.650000,-90.000000,top
"U1","LM7805_TO220","TO-220-3_Vertical",5.150000,14.800000,90.000000,top
"U2","PT2399","DIP-16_W7.62mm_Socket_LongPads",15.950000,19.100000,90.000000,top
